"stageType" "stageId" "zoneId" "code" "apCost" "30073" "30083" "30093" "30103" "30011" "30061" "30031" "30021" "30041" "30051" "realCost" "margin"
"63" "MAIN" "main_04-05" "main_4" "4-5" 18 0 0.0367938553022795 0.0116038982490915 0.0105302279484638 0 0 0.949000660720185 0.441526263627354 0 5.22538817310869 26.7644261048005 0.486912561377804
"64" "MAIN" "main_04-06" "main_4" "4-6" 18 0.021586175841495 0 0 0 7.92598221321626 0.647444557019025 0 0 0 0 24.9333476679479 0.385185981552664
"65" "MAIN" "main_04-07" "main_4" "4-7" 18 0.0587995100040833 0.376605835977008 0 0 1.55919213493734 0.642083110845871 0.473411439520055 0 0 0 26.7853844652 0.488076914733332
"66" "MAIN" "main_04-08" "main_4" "4-8" 21 0 0 0.39380838415811 0.0203041766386165 0 0.544275457422991 1.06870995136262 0 0.544275457422991 0.841349494325639 32.2581324398196 0.536101544753315
"67" "MAIN" "main_04-09" "main_4" "4-9" 21 0 0 0.0229109133681088 0.340902117213869 1.31533190140125 0 1.08632504858341 0 0 1.91497050901776 32.6214294950497 0.553401404526174
"68" "MAIN" "main_04-10" "main_4" "4-10" 21 0.0359281437125748 0 0.0300189095493224 0 2.26292152537031 4.46702647336905 0 0 0 0 31.2113083960697 0.486252780765223
"69" "SUB" "sub_04-1-1" "main_4" "S4-1" 18 0 0.0158767716442278 0 0 0 0.395239334642595 0.395239334642595 0.973925182783995 5.15907531410454 0 27.698081497227 0.538782305401499
"70" "SUB" "sub_04-1-2" "main_4" "S4-2" 18 0 0 0.0357142857142857 0.0476190476190476 0 0 0.797619047619048 0 0 0.761904761904762 21.2933964417807 0.182966468987816
"71" "SUB" "sub_04-1-3" "main_4" "S4-3" 18 0 0.02 0 0 0 0 0 0.92 1.19 0 20.9625530210234 0.164586278945747
"72" "SUB" "sub_04-2-1" "main_4" "S4-4" 18 0 0.0227272727272727 0 0 0 0 0 1.42045454545455 1.03409090909091 0 21.3044302918519 0.183579460658441
"73" "SUB" "sub_04-2-2" "main_4" "S4-5" 18 0 0 0.032967032967033 0.010989010989011 0 0 0.78021978021978 0 0 0.769230769230769 20.4945944321112 0.138588579561735
"74" "SUB" "sub_04-2-3" "main_4" "S4-6" 21 0 0.0403804438511597 0 0 0 0 0 1.23877857500417 1.01918905389621 0 24.3452416662381 0.159297222201816
"75" "SUB" "sub_04-3-1" "main_4" "S4-7" 18 0 0.0530973451327434 0 0 0 0 0 1.30088495575221 0.68141592920354 0 21.1083403130102 0.172685572945009
"76" "SUB" "sub_04-3-2" "main_4" "S4-8" 18 0 0 0.0483870967741935 0.0403225806451613 0 0 0.806451612903226 0 0 0.846774193548387 21.4873473069873 0.193741517054852
"77" "SUB" "sub_04-3-3" "main_4" "S4-9" 21 0 0.0319634703196347 0 0 0 0 0 1.14041095890411 0.968036529680365 0 24.0475699756332 0.145122379792056
"78" "MAIN" "a001_01" "A001_zone1" "GT-1" 9 0 0 0 0 0 0 0 0 0 0 9 0
"79" "MAIN" "a001_02" "A001_zone1" "GT-2" 9 0 0 0 0 0 0 0 0 0 0 9 0
"80" "MAIN" "a001_03" "A001_zone1" "GT-3" 12 0 0 0 0 0 0 0 0 0 0 12 0
"81" "MAIN" "a001_04" "A001_zone1" "GT-4" 12 0 0 0 0 0 0 0 0 0 0 12 0
"82" "MAIN" "a001_05" "A001_zone1" "GT-5" 15 0 0 0 0 0 0 0 0 0 0 15 0
"83" "MAIN" "a001_06" "A001_zone1" "GT-6" 15 0 0 0 0 0 0 0 0 0 0 15 0
"94" "MAIN" "main_05-01" "main_5" "5-1" 18 0.0202106461713635 0 0 0 8.20979220039852 0.700825505266154 0 0 0 0 25.2056502248649 0.400313901381381
"95" "MAIN" "main_05-02" "main_5" "5-2" 18 0.0203848662752772 0.0331050228310502 0 0 1.56914546640574 0.673352902804958 0 5.20156555772994 0.397260273972603 0 27.026685652502 0.501482536250113
"96" "MAIN" "main_05-03" "main_5" "5-3" 18 0 0 0 0 0 0 5.87701509956963 2.54942008899263 0 0 26.1463349727944 0.452574165155245
"97" "MAIN" "main_05-04" "main_5" "5-4" 18 0.362537764350453 0 0.00604229607250755 0.00755287009063444 0 0 0.871601208459215 0 0 0.762839879154078 24.6583123085352 0.369906239363067
"98" "MAIN" "main_05-05" "main_5" "5-5" 18 0.0223025919228451 0 0 0 1.57132810930279 1.00160739401246 0.337552742616034 0 4.24713682941531 0 27.5045941455181 0.528033008084339
